Word,Standard,Category
alligator,alligator,animal
ant,ant,animal
baboon,baboon,animal
bison,bison,animal
butterfly,butterfly,animal
cardinal,cardinal,animal
caterpillar,caterpillar,animal
chameleon,chameleon,animal
cheetah,cheetah,animal
chicken,chicken,animal
chimpanzee,chimpanzee,animal
chipmunk,chipmunk,animal
cricket,cricket,animal
crow,crow,animal
dog,dog,animal
dolphin,dolphin,animal
duck,duck,animal
elephant,elephant,animal
fish,fish,animal
goldfish,goldfish,animal
hamster,hamster,animal
hawk,hawk,animal
hippopotamus,hippopotamus,animal
horse,horse,animal
jackal,jackal,animal
lion,lion,animal
monkey,monkey,animal
moose,moose,animal
mosquito,mosquito,animal
mouse,mouse,animal
octopus,octopus,animal
penguin,penguin,animal
rhinoceros,rhinoceros,animal
salmon,salmon,animal
snake,snake,animal
tiger,tiger,animal
trout,trout,animal
turkey,turkey,animal
turtle,turtle,animal
whale,whale,animal
asparagus,asparagus,food
banana,banana,food
bean,bean,food
beer,beer,food
blueberry,blueberry,food
bread,bread,food
broccoli,broccoli,food
carrot,carrot,food
champagne,champagne,food
cheese,cheese,food
cherry,cherry,food
chestnut,chestnut,food
chocolate,chocolate,food
cider,cider,food
coffee,coffee,food
cranberry,cranberry,food
cucumber,cucumber,food
custard,custard,food
dandelion,dandelion,food
egg,egg,food
eggplant,eggplant,food
flower,flower,food
ham,ham,food
honey,honey,food
jam,jam,food
ketchup,ketchup,food
lemonade,lemonade,food
milk,milk,food
mushroom,mushroom,food
mustard,mustard,food
nectarine,nectarine,food
pineapple,pineapple,food
plant,plant,food
pudding,pudding,food
pumpkin,pumpkin,food
raspberry,raspberry,food
sauerkraut,sauerkraut,food
spaghetti,spaghetti,food
tobacco,tobacco,food
tomato,tomato,food
anchor,anchor,tool
axe,axe,tool
baseball,baseball,tool
binoculars,binoculars,tool
book,book,tool
calculator,calculator,tool
camera,camera,tool
candle,candle,tool
cash,cash,tool
comb,comb,tool
corkscrew,corkscrew,tool
crutches,crutch,tool
dime,dime,tool
faucet,faucet,tool
football,football,tool
fork,fork,tool
glass,glass,tool
hairbrush,hairbrush,tool
hammer,hammer,tool
handsaw,handsaw,tool
hoe,hoe,tool
key,key,tool
keyboard,keyboard,tool
ladle,ladle,tool
magazine,magazine,tool
microscope,microscope,tool
newspaper,newspaper,tool
pencil,pencil,tool
rake,rake,tool
sandpaper,sandpaper,tool
scissors,scissors,tool
skillet,skillet,tool
spatula,spatula,tool
stapler,stapler,tool
stethoscope,stethoscope,tool
straw,straw,tool
thermometer,thermometer,tool
ticket,ticket,tool
tongs,tongs,tool
umbrella,umbrella,tool
ambulance,ambulance,vehicle
automobile,automobile,vehicle
barge,barge,vehicle
bicycle,bicycle,vehicle
boat,boat,vehicle
bobsled,bobsled,vehicle
bus,bus,vehicle
canoe,canoe,vehicle
car,car,vehicle
carriage,carriage,vehicle
convertible,convertible,vehicle
elevator,elevator,vehicle
escalator,escalator,vehicle
ferry,ferry,vehicle
glider,glider,vehicle
helicopter,helicopter,vehicle
jeep,jeep,vehicle
limousine,limousine,vehicle
locomotive,locomotive,vehicle
motorcycle,motorcycle,vehicle
plane,plane,vehicle
rocket,rocket,vehicle
rowboat,rowboat,vehicle
sailboat,sailboat,vehicle
scooter,scooter,vehicle
skateboard,skateboard,vehicle
sled,sled,vehicle
sleigh,sleigh,vehicle
steamer,steamer,vehicle
streetcar,streetcar,vehicle
submarine,submarine,vehicle
subway,subway,vehicle
taxi,taxi,vehicle
tractor,tractor,vehicle
train,train,vehicle
tricycle,tricycle,vehicle
trolley,trolley,vehicle
truck,truck,vehicle
van,van,vehicle
wagon,wagon,vehicle
avalanche,avalanche,natural_event
battle,battle,natural_event
blizzard,blizzard,natural_event
bombing,bombing,natural_event
brawl,brawl,natural_event
cyclone,cyclone,natural_event
downpour,downpour,natural_event
drought,drought,natural_event
earthquake,earthquake,natural_event
epidemic,epidemic,natural_event
explosion,explosion,natural_event
famine,famine,natural_event
flood,flood,natural_event
gunshot,gunshot,natural_event
gust,gust,natural_event
hail,hail,natural_event
hailstorm,hailstorm,natural_event
hurricane,hurricane,natural_event
inferno,inferno,natural_event
invasion,invasion,natural_event
landslide,landslide,natural_event
lightning,lightning,natural_event
monsoon,monsoon,natural_event
murder,murder,natural_event
outbreak,outbreak,natural_event
plague,plague,natural_event
raid,raid,natural_event
riot,riot,natural_event
shooting,shooting,natural_event
squall,squall,natural_event
stampede,stampede,natural_event
storm,storm,natural_event
tempest,tempest,natural_event
thunderstorm,thunderstorm,natural_event
tornado,tornado,natural_event
twister,twister,natural_event
volcano,volcano,natural_event
war,war,natural_event
whirlwind,whirlwind,natural_event
wildfire,wildfire,natural_event
applause,applause,sound
bang,bang,sound
bellowing,bellow,sound
boom,boom,sound
chattering,chatter,sound
chuckle,chuckle,sound
clapping,clapping,sound
clattering,clatter,sound
crackle,crackle,sound
crescendo,crescendo,sound
giggle,giggle,sound
groaning,groan,sound
growling,growl,sound
grunt,grunt,sound
gulp,gulp,sound
hiccup,hiccup,sound
jingle,jingle,sound
laughter,laughter,sound
melody,melody,sound
murmuring,murmuring,sound
reverberation,reverberation,sound
roaring,roaring,sound
rumble,rumble,sound
rustle,rustle,sound
screaming,scream,sound
screeching,screech,sound
shrieking,shriek,sound
sigh,sigh,sound
siren,siren,sound
sizzle,sizzle,sound
snap,snap,sound
sneeze,sneeze,sound
sobbing,sob,sound
squeaking,squeak,sound
squeal,squeal,sound
thumping,thump,sound
thunderclap,thunderclap,sound
wheezing,wheeze,sound
whimpering,whimper,sound
whine,whine,sound
banquet,banquet,social_event
bash,bash,social_event
carnival,carnival,social_event
celebration,celebration,social_event
christening,christening,social_event
circus,circus,social_event
cocktails,cocktail,social_event
concert,concert,social_event
conference,conference,social_event
contest,contest,social_event
convention,convention,social_event
cookout,cookout,social_event
cruise,cruise,social_event
dance,dance,social_event
expedition,expedition,social_event
expo,expo,social_event
fair,fair,social_event
feast,feast,social_event
festival,festival,social_event
fiesta,fiesta,social_event
gathering,gathering,social_event
housewarming,housewarming,social_event
jubilee,jubilee,social_event
luncheon,luncheon,social_event
march,march,social_event
musical,musical,social_event
outing,outing,social_event
pageant,pageant,social_event
parade,parade,social_event
party,party,social_event
picnic,picnic,social_event
prom,prom,social_event
rally,rally,social_event
